profile,record,offset_bytes,size_bytes,field,encoding,meaning
G64,state,0,16,position_time,4xf32,"x,y,z,t"
G64,state,16,16,axis_radius,4xf32,"axis x,y,z, radial reach"
G64,state,32,16,phase_guard,4xf32,"cone cosine, phase, guard epsilon, confidence floor"
G64,state,48,16,meta,4xu32,"sheet, orientation, compatibility mask, lineage seed"
G64,event,0,16,scalar_bits,4xu32-as-f32,"sdf, guard, confidence, event time"
G64,event,16,16,topology_bits,4xu32,"verified, route, lineage hash, state flags"
G32,state,0,24,packed_float_pairs,6xu32,"twelve IEEE binary16 fields"
G32,state,24,4,packed_meta,u32,"sheet[7:0], orientation[8], compatibility mask[24:9]"
G32,state,28,4,lineage_seed,u32,"lineage seed"
G32,event,0,4,sdf_bits,u32-as-f32,"float32 SDF"
G32,event,4,4,guard_confidence,u32,"two IEEE binary16 values"
G32,event,8,4,state_flags,u32,"verified, route, sheet, support, compatibility"
G32,event,12,4,lineage_hash,u32,"compact checksum"
